not-amplified;Ohjelmanpitäjänä en voi käyttää mikrofonia;As a program organizer, I cannot use a microphone
loud-sounds;Kovat äänet;Loud noises
flahing-lights;Välkkyvät tai voimakkaat valot;Flashing or strong lights
strong-odours;Voimakkaat tuoksut;Strong scents
irritating-chemicals;Ihoa ärsyttävät aineet tai materiaalit;Substances or materials that irritate the skin
physical-contact;Fyysinen kontakti ja/tai suppea henkilökohtaisen tilan mahdollisuus;Physical contact and/or limited personal space
dark-lighting;Pimeä/heikko valaistus;Dark/dim lighting
lots-of-movement;Osallistuminen vaatii paljon liikkumista ilman mahdollisuutta istumiseen;Participation requires a lot of moving with no chance to sit
long-program;Ohjelma kestää yli kaksi tuntia ilman taukoa;Program runs for more than 2 hours without break
no-subtitles;Ohjelmanumerossa katsotaan video, jossa ei ole tekstitystä kuulorajoitteisille;Program contains a video with no subtitles for the hearing impaired
no-text-of-recording;Osallistuminen edellyttää sellaisen äänitteen kuuntelemista, josta ei ole tekstiversiota kuulorajoitteisille;Participation requires listening auditive material with no written option for the hearing impaired
long-texts;Osallistuminen vaatii pitkien tekstien itsenäistä lukemista;Participation includes reading long texts independently
no-recordings-or-spoken-text;Ohjelma sisältää osallistumisen kannalta olennaista tekstiä, josta ei ole saatavilla nauhoitetta tai jota ei lueta ääneen;Program contains necessary reading with no audio version or aloud reading available
fingers;Ohjelmaan osallistuminen vaatii sorminäppäryyttä;Participation in the tournament requires fine motor dexterity
quick-reactions;Ohjelmaan osallistuminen vaatii nopeaa reaktiokykyä;The tournament requires the ability to react quickly
color-blindness;Ohjelmanumerossa käytettävät materiaalit voivat tuottaa haasteita värisokeille;Program utilizes materials that may cause challenges to the colour blind
no-movement;Ohjelman aikana on rajatut mahdollisuudet liikkumiseen;There are limited opportunities for movement during the program
